"category","subcategory","species","order","title","panorama","private","sequence","filename"
"travel","iceland",,"67","Gullfoss","False","False","1","067-Gullfoss-001.JPG"
"travel","iceland",,"68","Gullfoss","False","True","2","068-Gullfoss_private-002.JPG"
"travel","iceland",,"69","Gullfoss","False","False","3","069-Gullfoss-003.jpg"
"travel","iceland",,"70","Gullfoss","False","False","4","070-Gullfoss-004.jpg"
"travel","iceland",,"71","Gullfoss","False","False","5","071-Gullfoss-005.JPG"
"travel","iceland",,"72","Gullfoss","False","False","6","072-Gullfoss-006.jpg"
"travel","iceland",,"73","Gullfoss","False","True","7","073-Gullfoss_private-007.JPG"
"travel","iceland",,"74","Gullfoss","False","True","8","074-Gullfoss_private-008.jpg"
"travel","iceland",,"75","Gullfoss","False","True","9","075-Gullfoss_private-009.jpg"
"travel","iceland",,"76","Camping","False","True","1","076-camping_private-001.jpg"
"travel","iceland",,"77","Camping","False","True","2","077-camping_private-002.jpg"
"travel","iceland",,"78","Camping","False","True","3","078-camping_private-003.jpeg"
"travel","iceland",,"79","Keri̡","False","False","1","079-Keri̡-001.jpg"
"travel","iceland",,"80","Keri̡","False","True","2","080-Keri̡_private-002.jpg"
"travel","iceland",,"81","Keri̡","False","False","3","081-Keri̡-003.jpg"
"travel","iceland",,"82","Seljalandsfoss","False","False","1","082-Seljalandsfoss-001.jpg"
"travel","iceland",,"83","Seljalandsfoss","False","True","2","083-Seljalandsfoss_private-002.jpg"
"travel","iceland",,"84","Seljalandsfoss","False","True","3","084-Seljalandsfoss_private-003.JPG"
"travel","iceland",,"85","Seljalandsfoss","False","True","4","085-Seljalandsfoss_private-004.JPG"
"travel","iceland",,"86","Seljalandsfoss","False","False","5","086-Seljalandsfoss-005.jpg"
"travel","iceland",,"87","Seljalandsfoss","False","False","6","087-Seljalandsfoss-006.jpg"
"travel","iceland",,"88","Glj̼frab̼i","False","False","1","088-Glj̼frab̼i-001.jpg"
